Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1901,-.16,-.12,-.19,-.16,-.04,-.31,-.46,-.10,-.13,-.05,-.03,-.28,-.34,.21
1902,-.28,-.33,-.23,-.53,-.04,-.35,-1.44,-.51,-.31,-.02,-.07,-.28,-.43,-.09
1903,-.37,-.38,-.38,-.47,-.29,-.39,-.33,-.42,-.54,-.23,-.35,-.36,-.40,-.51
1904,-.47,-.48,-.47,-.50,-.47,-.45,-.21,-.59,-.53,-.43,-.51,-.38,-.49,-1.33
1905,-.27,-.29,-.24,-.41,-.09,-.36,-.10,-.22,-.61,-.11,-.08,-.33,-.37,-.35
1906,-.23,-.23,-.23,-.26,-.20,-.24,-.33,-.07,-.38,-.19,-.20,-.21,-.23,-.72
1907,-.39,-.47,-.31,-.59,-.31,-.30,-.63,-.72,-.51,-.29,-.33,-.22,-.37,-1.21
1908,-.43,-.45,-.41,-.48,-.44,-.36,-.28,-.54,-.51,-.41,-.48,-.29,-.48,.66
1909,-.48,-.48,-.49,-.53,-.48,-.45,-.77,-.60,-.42,-.42,-.54,-.38,-.52,-.58
1910,-.44,-.44,-.44,-.41,-.49,-.39,-.60,-.23,-.48,-.48,-.50,-.33,-.45,.15
1911,-.44,-.42,-.47,-.42,-.43,-.49,-.32,-.41,-.46,-.42,-.44,-.44,-.53,.04
1912,-.36,-.46,-.26,-.59,-.19,-.37,-.54,-.78,-.49,-.27,-.11,-.37,-.29,-1.64
1913,-.35,-.42,-.27,-.44,-.28,-.35,-.53,-.33,-.49,-.40,-.16,-.29,-.40,-1.05
1914,-.16,-.19,-.13,-.24,-.07,-.19,-.39,-.16,-.27,-.10,-.04,-.16,-.18,-.38
1915,-.15,-.13,-.15,-.23,-.02,-.22,-.62,-.15,-.17,.00,-.05,-.15,-.24,-1.99
1916,-.36,-.41,-.32,-.36,-.45,-.23,-.50,-.53,-.23,-.48,-.42,-.23,-.17,-1.06
1917,-.46,-.57,-.37,-.49,-.64,-.19,-.85,-.48,-.42,-.68,-.60,-.23,-.10,.05
1918,-.30,-.39,-.21,-.41,-.34,-.14,-1.04,-.26,-.34,-.37,-.31,-.06,-.23,-.29
1919,-.28,-.35,-.22,-.43,-.21,-.23,-.72,-.54,-.29,-.22,-.20,-.15,-.32,.19
1920,-.28,-.30,-.26,-.25,-.26,-.33,-.05,-.20,-.34,-.36,-.16,-.19,-.48,-1.15
1921,-.19,-.11,-.28,.01,-.26,-.31,-.05,.17,-.08,-.28,-.24,-.23,-.38,-.85
1922,-.28,-.27,-.30,-.25,-.32,-.28,-.35,-.40,-.13,-.30,-.33,-.25,-.29,-.29
1923,-.26,-.21,-.31,-.15,-.29,-.34,.13,-.14,-.25,-.31,-.28,-.27,-.41,-.56
1924,-.27,-.18,-.36,-.13,-.25,-.44,.42,-.24,-.22,-.26,-.25,-.40,-.45,-.54
1925,-.22,-.14,-.30,-.04,-.24,-.38,-.12,.19,-.18,-.27,-.21,-.25,-.55,-.87
1926,-.11,.02,-.22,.03,.01,-.41,.55,.17,-.21,.00,.02,-.35,-.45,-.65
1927,-.22,-.13,-.30,-.13,-.16,-.39,-.01,-.21,-.12,-.13,-.18,-.31,-.46,-1.39
1928,-.20,-.09,-.30,-.07,-.15,-.40,.68,-.16,-.22,-.13,-.17,-.29,-.48,-2.13
1929,-.36,-.33,-.39,-.38,-.28,-.46,.12,-.61,-.38,-.26,-.29,-.43,-.45,-1.09
1930,-.16,-.01,-.29,.04,-.10,-.43,.51,.04,-.10,-.08,-.13,-.33,-.47,-2.61
1931,-.09,.05,-.22,.01,.08,-.43,.56,-.03,-.13,.11,.05,-.42,-.40,-.42
1932,-.16,-.05,-.26,.04,-.16,-.35,.47,.20,-.20,-.18,-.14,-.21,-.53,-1.00
1933,-.29,-.25,-.32,-.24,-.28,-.34,-.17,-.46,-.11,-.28,-.28,-.22,-.49,-1.16
1934,-.13,.00,-.26,.18,-.25,-.26,.87,.31,-.12,-.25,-.25,-.16,-.38,-.58
1935,-.20,-.09,-.30,-.04,-.18,-.38,.34,-.04,-.16,-.16,-.20,-.31,-.42,-1.73
1936,-.15,-.03,-.27,-.02,-.13,-.30,.39,.11,-.25,-.05,-.21,-.27,-.33,-.05
1937,-.03,.12,-.18,.20,-.05,-.23,1.23,.03,-.02,.01,-.12,-.19,-.26,.35
1938,.00,.16,-.19,.39,-.22,-.10,1.50,.38,.03,-.17,-.28,-.06,-.11,-.88
1939,-.02,.09,-.13,.23,-.12,-.13,.56,.28,.09,-.10,-.14,-.04,-.19,-1.61
1940,.13,.18,.09,.11,.28,-.07,1.00,-.02,-.09,.28,.29,.03,-.20,-.07
1941,.19,.23,.17,.01,.49,-.05,.00,-.10,.09,.55,.44,.04,-.15,-.48
1942,.07,.13,.00,.13,.08,-.01,.73,-.06,.06,.12,.03,.06,-.05,-.91
1943,.09,.18,-.01,.37,-.09,.03,1.41,.28,.11,-.10,-.07,.07,-.01,1.12
1944,.20,.27,.14,.38,.18,.05,1.17,.47,.10,.11,.26,.18,-.10,-.92
1945,.09,.10,.09,.10,.17,-.03,.62,-.03,.04,.10,.24,.03,.00,-1.75
1946,-.08,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.03,-.08,-.22,-.24,-.15
1947,-.03,.08,-.14,.16,-.06,-.17,1.07,-.13,.04,-.03,-.09,-.20,-.08,-.19
1948,-.11,-.02,-.20,.13,-.18,-.24,.12,.32,.01,-.23,-.14,-.20,-.19,-1.35
1949,-.11,-.03,-.20,.11,-.19,-.23,.20,.16,.05,-.23,-.15,-.18,-.15,-1.95
1950,-.18,-.15,-.21,-.05,-.29,-.15,.20,-.31,.03,-.30,-.28,-.06,-.16,-.87
1951,-.07,.04,-.18,.08,-.06,-.23,.08,.01,.12,-.01,-.12,-.22,-.16,-.70
1952,.01,.06,-.04,.11,.01,-.09,.27,-.09,.19,-.01,.04,-.10,-.02,-.49
1953,.08,.24,-.08,.35,.07,-.19,1.01,.35,.14,.08,.06,-.08,-.24,-1.09
1954,-.13,-.02,-.25,.07,-.22,-.22,.80,-.21,.00,-.14,-.29,-.18,-.20,-.80
1955,-.14,-.09,-.21,.04,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.16,-.08,1.22
1956,-.19,-.24,-.16,-.20,-.33,.00,.01,-.47,-.09,-.29,-.37,-.14,.02,.76
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.48
1958,.06,.15,-.02,.08,.20,-.14,-.17,.14,.12,.26,.15,-.08,-.08,-.47
1959,.03,.12,-.06,.16,.07,-.15,.48,.18,.04,.07,.08,-.03,-.26,-.32
1960,-.02,.08,-.12,.09,.02,-.19,.33,-.07,.11,.06,-.02,-.10,-.07,-.70
1961,.06,.08,.03,.19,-.04,.06,-.15,.38,.18,-.07,.00,.14,-.17,.25
1962,.04,.13,-.06,.24,-.05,-.06,.45,.31,.14,-.04,-.05,.09,-.07,-.55
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.03
1964,-.20,-.19,-.21,-.23,-.14,-.25,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.40
1965,-.11,-.14,-.07,-.18,-.03,-.14,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.02
1966,-.06,-.02,-.09,-.14,.08,-.16,-.76,-.19,.09,.16,-.01,-.24,-.14,.06
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.29
1968,-.08,-.07,-.09,-.10,-.07,-.08,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.03
1969,.06,-.03,.15,-.29,.34,.03,-.04,-.61,-.17,.35,.32,.00,.13,-.08
1970,.03,-.04,.09,-.11,.07,.10,-.21,-.13,-.06,.07,.07,.11,.03,.26
1971,-.08,-.15,-.02,-.05,-.26,.12,-.08,.02,-.09,-.29,-.22,.03,.16,.40
1972,.01,-.17,.19,-.34,.17,.14,-.37,-.47,-.24,.07,.27,.16,-.02,.40
1973,.16,.10,.23,.11,.19,.18,.07,.27,.02,.08,.30,.22,.08,.32
1974,-.07,-.18,.03,-.14,-.20,.17,-.19,-.07,-.18,-.23,-.17,.22,-.08,.63
1975,-.01,-.05,.02,.12,-.23,.15,.10,.39,-.05,-.30,-.17,.13,.14,.25
1976,-.10,-.20,.01,-.26,-.11,.08,-.07,-.32,-.28,-.12,-.10,.10,.22,-.28
1977,.18,.12,.24,.14,.16,.25,.16,.24,.06,.10,.22,.22,.31,.24
1978,.07,.02,.12,-.03,.08,.16,-.16,.04,-.04,.10,.06,.21,.13,.03
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.09,.26,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.25,.02,.02,.33,.29,.35,.37,.57
1981,.32,.37,.27,.48,.18,.35,1.09,.78,.08,.22,.14,.28,.39,.56
1982,.14,.05,.22,-.08,.27,.18,-.40,.09,-.08,.25,.29,.18,.32,-.12
1983,.31,.25,.38,.22,.44,.23,.19,.69,-.07,.30,.58,.21,.41,-.03
1984,.16,.04,.27,.02,.19,.25,.36,.08,-.13,.07,.30,.16,.32,.47
1985,.12,.00,.23,-.03,.09,.30,.39,-.27,-.01,.04,.14,.30,.44,.00
1986,.18,.14,.23,.11,.23,.20,.01,.28,.03,.18,.28,.25,.25,-.09
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.02
1988,.39,.37,.40,.40,.37,.38,.59,.57,.24,.33,.42,.38,.20,.78
1989,.27,.27,.27,.41,.13,.33,.33,.69,.25,.07,.19,.36,.30,.30
1990,.45,.53,.37,.63,.37,.38,.58,.88,.49,.38,.36,.37,.37,.39
1991,.40,.41,.40,.47,.36,.39,.75,.66,.26,.32,.41,.31,.29,.90
1992,.22,.14,.30,.10,.28,.26,-.16,.44,-.03,.20,.37,.20,.33,.34
1993,.23,.19,.28,.12,.32,.22,.54,.29,-.11,.29,.36,.27,.39,-.32
1994,.31,.37,.25,.43,.31,.19,.34,.50,.42,.28,.34,.26,.23,-.13
1995,.45,.58,.32,.70,.43,.23,1.31,.98,.32,.41,.45,.29,.15,.16
1996,.33,.26,.39,.23,.32,.44,.77,.17,.10,.31,.33,.33,.28,1.23
1997,.47,.52,.42,.53,.51,.34,.75,.90,.23,.50,.52,.42,.36,.00
1998,.61,.71,.52,.78,.70,.33,.85,.94,.66,.60,.79,.39,.31,.19
1999,.39,.48,.29,.70,.21,.31,.39,.80,.74,.16,.25,.47,.19,.03
2000,.40,.50,.29,.70,.25,.29,.96,.80,.56,.21,.28,.42,.10,.29
2001,.54,.64,.44,.80,.42,.43,1.06,.86,.69,.41,.44,.58,.24,.32
2002,.63,.71,.54,.83,.59,.47,1.24,1.00,.58,.55,.63,.50,.32,.70
2003,.62,.75,.50,.84,.64,.38,1.49,.98,.54,.61,.66,.45,.24,.46
2004,.54,.66,.43,.73,.55,.35,.46,.96,.67,.56,.53,.48,.23,.10
2005,.68,.86,.50,1.02,.62,.43,1.98,1.22,.57,.62,.61,.50,.19,.71
2006,.64,.82,.46,.99,.56,.40,1.73,1.06,.70,.57,.55,.52,.20,.45
2007,.66,.85,.47,1.13,.47,.46,2.11,1.32,.70,.45,.48,.50,.07,1.18
2008,.54,.68,.40,.92,.38,.39,1.53,1.08,.62,.34,.42,.53,.09,.56
2009,.66,.73,.59,.78,.68,.50,1.42,.60,.69,.66,.71,.61,.15,.90
2010,.73,.91,.55,1.03,.69,.48,2.20,.87,.75,.72,.65,.64,.20,.49
2011,.61,.75,.46,.99,.37,.54,2.33,.94,.59,.39,.35,.65,.18,.97
2012,.64,.82,.47,1.04,.53,.40,2.19,.93,.74,.48,.57,.57,.19,.27
2013,.69,.80,.57,.95,.58,.56,1.55,1.05,.70,.58,.58,.63,.23,1.00
2014,.75,.92,.58,1.07,.67,.52,2.04,1.12,.73,.69,.65,.73,.18,.55
2015,.90,1.18,.63,1.31,.96,.41,1.99,1.47,1.00,.98,.93,.76,.18,-.35
2016,1.02,1.31,.73,1.54,1.01,.49,3.23,1.43,1.08,.96,1.06,.68,.26,.38
2017,.92,1.18,.67,1.39,.82,.60,2.50,1.37,1.04,.87,.76,.77,.35,.56
2018,.85,1.04,.66,1.25,.67,.69,2.14,1.09,1.06,.73,.62,.81,.38,.95
